"","RecordNo","q","a","Q18_1_open","Q18a"
"1",1,"Q7","OpenOffice Draw","Skolelærer","Undervisning"
"2",1,"Q4","MS Word","Skolelærer","Undervisning"
"3",1,"Q4","Google Docs","Skolelærer","Undervisning"
"4",1,"Q5",NA,"Skolelærer","Undervisning"
"5",1,"Q4","Apple Pages","Skolelærer","Undervisning"
"6",1,"Q6","Pages","Skolelærer","Undervisning"
"7",1,"Q6","MS Word","Skolelærer","Undervisning"
"8",5,"Q5",NA,"revisor","udarbejdelse af regnskaber"
"9",5,"Q6",NA,"revisor","udarbejdelse af regnskaber"
"10",5,"Q4","MS Office","revisor","udarbejdelse af regnskaber"
"11",5,"Q4","QWM","revisor","udarbejdelse af regnskaber"
"12",5,"Q7",NA,"revisor","udarbejdelse af regnskaber"
"13",5,"Q4","MS Dynamics NAV","revisor","udarbejdelse af regnskaber"
"14",6,"Q4","MS Sharepoint","Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"15",6,"Q4",NA,"Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"16",6,"Q4","MS Excel","Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"17",6,"Q7","MS Sharepoint","Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"18",6,"Q5",NA,"Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"19",6,"Q4","MS Word","Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"20",6,"Q4","MS Powerpoint","Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"21",6,"Q6",NA,"Kommunikationskonsulent","Lave intern kommunikation; skrive; publicere og lægge planer"
"22",16,"Q4","Adobe Photoshop","Konsulent","Kommunikation"
"23",16,"Q4","MS Word","Konsulent","Kommunikation"
"24",16,"Q4",NA,"Konsulent","Kommunikation"
"25",16,"Q5",NA,"Konsulent","Kommunikation"
"26",16,"Q7",NA,"Konsulent","Kommunikation"
"27",16,"Q5",NA,"Konsulent","Kommunikation"
"28",16,"Q6",NA,"Konsulent","Kommunikation"
"29",16,"Q6","Google Chrome","Konsulent","Kommunikation"
"30",19,"Q4","MS Excel","",""
"31",19,"Q5",NA,"",""
"32",19,"Q7",NA,"",""
"33",19,"Q6",NA,"",""
"34",23,"Q6",NA,"Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"35",23,"Q4","Micro Focus Reflection Desktop","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"36",23,"Q4","Skype for Business","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"37",23,"Q7","Remedy","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"38",23,"Q4","Internet Explorer","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"39",23,"Q7","BMC TrueSight","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"40",23,"Q4","MS Outlook 2016","Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"41",23,"Q5",NA,"Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"42",23,"Q4",NA,"Senioroperatør","Overvågning af batchafvikling og onlinesystemer i et stort mainframe miljø; herunder simpel fejldiagnostisering og fejlretning."
"43",25,"Q6",NA,"principal technician","Udvikling og test af katalysatore"
"44",25,"Q5",NA,"principal technician","Udvikling og test af katalysatore"
"45",25,"Q7",NA,"principal technician","Udvikling og test af katalysatore"
"46",25,"Q4",NA,"principal technician","Udvikling og test af katalysatore"
"47",25,"Q4","HT DAQ Viewer","principal technician","Udvikling og test af katalysatore"
"48",25,"Q4",NA,"principal technician","Udvikling og test af katalysatore"
"49",25,"Q4",NA,"principal technician","Udvikling og test af katalysatore"
"50",25,"Q4","MS Office","principal technician","Udvikling og test af katalysatore"
"51",27,"Q4","MS Office 365","specialkonsulent","Økonomi"
"52",27,"Q7",NA,"specialkonsulent","Økonomi"
"53",27,"Q6",NA,"specialkonsulent","Økonomi"
"54",27,"Q5",NA,"specialkonsulent","Økonomi"
"55",29,"Q6",NA,"Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"56",29,"Q7","Sundhedsplatformen","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"57",29,"Q4","Sundhedsplatformen","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"58",29,"Q6",NA,"Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"59",29,"Q4",NA,"Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"60",29,"Q5",NA,"Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"61",29,"Q6","MS Excel","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"62",29,"Q7","MS Powerpoint","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"63",29,"Q4","MS Office","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"64",29,"Q7","MS Excel","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"65",29,"Q6","MS Word","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"66",29,"Q7","MS Word","Afdelingsbioanalytiker","Ledelse; Administrativt ledelse ;teknisk færdigheder mm"
"67",30,"Q6",NA,"Underviser","Undervisning; intern support; udvikling"
"68",30,"Q7","Itslearning.com","Underviser","Undervisning; intern support; udvikling"
"69",30,"Q4","Google Chrome","Underviser","Undervisning; intern support; udvikling"
"70",30,"Q4","Vivaldi","Underviser","Undervisning; intern support; udvikling"
"71",30,"Q7","Elevplan","Underviser","Undervisning; intern support; udvikling"
"72",30,"Q4","MS OneNote","Underviser","Undervisning; intern support; udvikling"
"73",30,"Q5","Google Chrome","Underviser","Undervisning; intern support; udvikling"
"74",30,"Q4","MS Office 365","Underviser","Undervisning; intern support; udvikling"
"75",30,"Q5",NA,"Underviser","Undervisning; intern support; udvikling"
"76",30,"Q7","Draw.io","Underviser","Undervisning; intern support; udvikling"
"77",33,"Q4","MS Outlook","Hr specialist","First line support på digitale hr-systemer"
"78",33,"Q4","SAP Successfactors","Hr specialist","First line support på digitale hr-systemer"
"79",33,"Q4","Internet Explorer","Hr specialist","First line support på digitale hr-systemer"
"80",33,"Q7","successfactors fasthire","Hr specialist","First line support på digitale hr-systemer"
"81",33,"Q4","MS Office","Hr specialist","First line support på digitale hr-systemer"
"82",33,"Q6",NA,"Hr specialist","First line support på digitale hr-systemer"
"83",33,"Q7","pi learning indicator humanostics","Hr specialist","First line support på digitale hr-systemer"
"84",33,"Q5",NA,"Hr specialist","First line support på digitale hr-systemer"
"85",33,"Q5",NA,"Hr specialist","First line support på digitale hr-systemer"
"86",33,"Q7","PI Behavioral Assessment (Humanostics)","Hr specialist","First line support på digitale hr-systemer"
"87",33,"Q7","MS Access","Hr specialist","First line support på digitale hr-systemer"
"88",34,"Q4",NA,"Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"89",34,"Q4","MS Powerpoint","Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"90",34,"Q7",NA,"Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"91",34,"Q4","MS Excel","Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"92",34,"Q4","MS Word","Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"93",34,"Q5",NA,"Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"94",34,"Q6",NA,"Vice President Product Development","Forretningsudvikling - nye produkter eller forretningsområder"
"95",35,"Q4","GeoGebra","Folkeskolelærer","Undervisning i udskolingen"
"96",35,"Q4","SkoleIntra","Folkeskolelærer","Undervisning i udskolingen"
"97",35,"Q4","MS Powerpoint","Folkeskolelærer","Undervisning i udskolingen"
"98",35,"Q7",NA,"Folkeskolelærer","Undervisning i udskolingen"
"99",35,"Q4",NA,"Folkeskolelærer","Undervisning i udskolingen"
"100",35,"Q6",NA,"Folkeskolelærer","Undervisning i udskolingen"
"101",35,"Q4","MS Excel","Folkeskolelærer","Undervisning i udskolingen"
"102",35,"Q4","MS Word","Folkeskolelærer","Undervisning i udskolingen"
"103",35,"Q5","SkoleIntra","Folkeskolelærer","Undervisning i udskolingen"
"104",35,"Q4","MeeBook","Folkeskolelærer","Undervisning i udskolingen"
"105",36,"Q4","Mozilla Firefox Nightly","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"106",36,"Q7",NA,"Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"107",36,"Q4","MobaXterm","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"108",36,"Q4","Google Chrome","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"109",36,"Q4","Skype for Business","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"110",36,"Q4","WinSCP","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"111",36,"Q4","Atom.io","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"112",36,"Q5",NA,"Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"113",36,"Q4","MS Office 365","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"114",36,"Q4","Adobe CC","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"115",36,"Q4","MS Visual Studio 2017","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"116",36,"Q6",NA,"Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"117",36,"Q4","HeidiSQL","Developer and Systems Administrator","Code and maintain companys main administrative web services. Administer and plan IT use and strategy"
"118",37,"Q4","MS Office","afdelingschef","Ledelse og strategi"
"119",37,"Q5",NA,"afdelingschef","Ledelse og strategi"
"120",37,"Q4",NA,"afdelingschef","Ledelse og strategi"
"121",37,"Q7",NA,"afdelingschef","Ledelse og strategi"
"122",37,"Q6",NA,"afdelingschef","Ledelse og strategi"
"123",37,"Q4",NA,"afdelingschef","Ledelse og strategi"
"124",37,"Q4",NA,"afdelingschef","Ledelse og strategi"
"125",37,"Q5",NA,"afdelingschef","Ledelse og strategi"
"126",37,"Q4",NA,"afdelingschef","Ledelse og strategi"
"127",37,"Q4","MS PowerBI","afdelingschef","Ledelse og strategi"
"128",38,"Q4","MS Office","Souschef","Lede akademiske medarbejdere"
"129",38,"Q6","Apple Mail","Souschef","Lede akademiske medarbejdere"
"130",38,"Q7",NA,"Souschef","Lede akademiske medarbejdere"
"131",38,"Q5","Apple Mail","Souschef","Lede akademiske medarbejdere"
"132",39,"Q4",NA,"Sektions leder","Forretnings udvikling"
"133",39,"Q6",NA,"Sektions leder","Forretnings udvikling"
"134",39,"Q5",NA,"Sektions leder","Forretnings udvikling"
"135",39,"Q7",NA,"Sektions leder","Forretnings udvikling"
"136",40,"Q4","MS Powerpoint","HR-konsulent","HR udvikling"
"137",40,"Q7",NA,"HR-konsulent","HR udvikling"
"138",40,"Q5",NA,"HR-konsulent","HR udvikling"
"139",40,"Q4",NA,"HR-konsulent","HR udvikling"
"140",40,"Q4","MS Excel","HR-konsulent","HR udvikling"
"141",40,"Q4",NA,"HR-konsulent","HR udvikling"
"142",40,"Q6",NA,"HR-konsulent","HR udvikling"
"143",40,"Q4","MS Word","HR-konsulent","HR udvikling"
"144",45,"Q4",NA,"laboratorieteknikker","forskning og udvikling"
"145",45,"Q5",NA,"laboratorieteknikker","forskning og udvikling"
"146",45,"Q6",NA,"laboratorieteknikker","forskning og udvikling"
"147",45,"Q7",NA,"laboratorieteknikker","forskning og udvikling"
"148",46,"Q5",NA,"CFO","økonomi"
"149",46,"Q7",NA,"CFO","økonomi"
"150",46,"Q6",NA,"CFO","økonomi"
"151",46,"Q4","MS Office","CFO","økonomi"
"152",46,"Q4","MS Navision","CFO","økonomi"
"153",49,"Q7",NA,"Country Manager","Implementering af performance management løsninger"
"154",49,"Q4","MS Excel","Country Manager","Implementering af performance management løsninger"
"155",49,"Q6",NA,"Country Manager","Implementering af performance management løsninger"
"156",49,"Q4",NA,"Country Manager","Implementering af performance management løsninger"
"157",49,"Q4","MS Word","Country Manager","Implementering af performance management løsninger"
"158",49,"Q4","Internet Explorer","Country Manager","Implementering af performance management løsninger"
"159",49,"Q5",NA,"Country Manager","Implementering af performance management løsninger"
"160",49,"Q4","MS Powerpoint","Country Manager","Implementering af performance management løsninger"
"161",49,"Q4","Skitch","Country Manager","Implementering af performance management løsninger"
"162",51,"Q7","Google Mail","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"163",51,"Q7","G Suite","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"164",51,"Q7","Xactly","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"165",51,"Q7","Concur","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"166",51,"Q4","Google Mail","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"167",51,"Q4","G Suite","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"168",51,"Q4","SalesForce","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"169",51,"Q4","Ultipro","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"170",51,"Q7","Fuze","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"171",51,"Q5","Fuze","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"172",51,"Q4","Google Chrome","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"173",51,"Q7","Ultipro","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"174",51,"Q6","Google Mail","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"175",51,"Q4","Fuze","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"176",51,"Q6","Fuze","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"177",51,"Q4","Concur","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"178",51,"Q5","Google Mail","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"179",51,"Q4","Xactly","Senior Presales Engineer","Understøtter salg med teknisk viden i en salgsproces"
"180",57,"Q4",NA,"Ceo","Salg og ledelse ansvar"
"181",57,"Q4","MS PowerPoint 365","Ceo","Salg og ledelse ansvar"
"182",57,"Q4",NA,"Ceo","Salg og ledelse ansvar"
"183",57,"Q5","Twitter","Ceo","Salg og ledelse ansvar"
"184",57,"Q5","Nem ID","Ceo","Salg og ledelse ansvar"
"185",57,"Q7","MS Office 365","Ceo","Salg og ledelse ansvar"
"186",57,"Q4","MS Excel 365","Ceo","Salg og ledelse ansvar"
"187",57,"Q4","Google Chrome","Ceo","Salg og ledelse ansvar"
"188",57,"Q4","MS Word 365","Ceo","Salg og ledelse ansvar"
"189",57,"Q5","Samsung Mail","Ceo","Salg og ledelse ansvar"
"190",57,"Q6",NA,"Ceo","Salg og ledelse ansvar"
