RecordNo,q,a
1,Q4,Pages
1,Q4,Words
1,Q4,google doc
5,Q4,Nav Dynamics
5,Q4,microsoft office
5,Q4,QWM
6,Q4,Word
6,Q4,powerpoint
6,Q4,Excel
6,Q4,sharepoint
6,Q4,
16,Q4,Word
16,Q4,Outlook
16,Q4,photoshop
19,Q4,excel
23,Q4,Micro Focus Reflection Desktop
23,Q4,Microsoft Internet Explorer 11
23,Q4,Microsoft Skype for Business 2016
23,Q4,Microsoft Outlook 2016
23,Q4,
25,Q4,Windows 10
25,Q4,Microsoft pakken
25,Q4,STARS
25,Q4,Puma
25,Q4,HT DAQ
27,Q4,Office 365
29,Q4,Office
29,Q4,outlook
29,Q4,ca20 forskellige programmer indenfor region Hovedstaden sundhedsvæsen
30,Q4,Microsoft Office 365
30,Q4,Vivaldi
30,Q4,Google Chrome
30,Q4,Microsoft OneNote
33,Q4,Microsoft Office 2010? Sap version? Successfactors recruitment. Google/internet Explorer. Outlook ova. Assessment tools fra humanostics.
34,Q4,Microsoft Word
34,Q4,Microsoft Excel
34,Q4,Microsoft Powerpoint
34,Q4,diverse inhouseudviklede dot.net applikationer
35,Q4,Word
35,Q4,excel
35,Q4,power point
35,Q4,geogebra
35,Q4,skoleintra
35,Q4,meebook
35,Q4,diverse undervisnings-portaler
36,Q4,Office 365 suite
36,Q4,Adobe CC suite
36,Q4,Visual Studio 2017
36,Q4,HeidiSQL
36,Q4,MobaXterm
36,Q4,Google Chrome
36,Q4,FireFox Dev. ed.
36,Q4,Atom.io
36,Q4,WinSCP
36,Q4,Skype4B
37,Q4,office pakke
37,Q4,løn
37,Q4,hr
37,Q4,BI
37,Q4,billing
37,Q4,
38,Q4,Word. Excel. Powerpoint. Outlook. Internet Explorer
39,Q4,Windows
40,Q4,MIcrosoft Word
40,Q4,Excel
40,Q4,PowerPoint
40,Q4,Outlook
40,Q4,
45,Q4,Jeg oplyser ikke( må ikke) hvilke programmer vi bruger på min arbejdsplads
46,Q4,office
46,Q4,navision
49,Q4,Excel
49,Q4,PowerPoint
49,Q4,Outlook
49,Q4,Word
49,Q4,Internet Explorer
49,Q4,Skitch
51,Q4,Fuze
51,Q4,Google Mail
51,Q4,Google Apps
51,Q4,Concur
51,Q4,Xactly
51,Q4,Chrome
51,Q4,Ultipro
51,Q4,Salesforce.com
57,Q4,Microsoft word 365
57,Q4,PowerPoint 365
57,Q4,Excel 365
57,Q4,outlook
57,Q4,Google Chrome
57,Q4,pdf
59,Q4,Word Excel Powerpoint
62,Q4,nexus
63,Q4,Microsoft Office 365
63,Q4,Microsoft Outlook 365
64,Q4,Microsoft word
64,Q4,libre
74,Q4,Office365
74,Q4,teams
74,Q4,Excel
74,Q4,Word
74,Q4,Powerpoint addins til Excel
74,Q4,Thinkcell
74,Q4,Jedox
74,Q4,Virksomhedsudviklede programmer
76,Q4,Har ingen anelse
77,Q4,Office 365
77,Q4,Citrix
77,Q4,Cisco VPN
77,Q4,palo alto
77,Q4,palo alto threats
77,Q4,trustbroker
77,Q4,One drive
77,Q4,Remote Desktop
77,Q4,VNC
77,Q4,milestone
77,Q4,pelco
77,Q4,WMVare
77,Q4,mma
81,Q4,Microsoft Windows 10
81,Q4,Microsoft word
