RecordNo	q	a
1	Q4	Apple Pages
1	Q4	MS Word
1	Q4	Google Docs
5	Q4	MS Dynamics NAV
5	Q4	MS Office
5	Q4	QWM
6	Q4	MS Word
6	Q4	MS Powerpoint
6	Q4	MS Excel
6	Q4	MS Sharepoint
6	Q4	
16	Q4	MS Word
16	Q4	
16	Q4	Adobe Photoshop
19	Q4	MS Excel
23	Q4	Micro Focus Reflection Desktop
23	Q4	Internet Explorer
23	Q4	Skype for Business
23	Q4	MS Outlook 2016
23	Q4	
25	Q4	
25	Q4	MS Office
25	Q4	
25	Q4	
25	Q4	HT DAQ Viewer
27	Q4	MS Office 365
29	Q4	MS Office
29	Q4	
29	Q4	Sundhedsplatformen
30	Q4	MS Office 365
30	Q4	Vivaldi
30	Q4	Google Chrome
30	Q4	MS OneNote
33	Q4	MS Office; SAP Successfactors; Internet Explorer; MS Outlook
34	Q4	MS Word
34	Q4	MS Excel
34	Q4	MS Powerpoint
34	Q4	
35	Q4	MS Word
35	Q4	MS Excel
35	Q4	MS Powerpoint
35	Q4	GeoGebra
35	Q4	SkoleIntra
35	Q4	MeeBook
35	Q4	
36	Q4	MS Office 365
36	Q4	Adobe CC
36	Q4	MS Visual Studio 2017
36	Q4	HeidiSQL
36	Q4	MobaXterm
36	Q4	Google Chrome
36	Q4	Mozilla Firefox Nightly
36	Q4	Atom.io
36	Q4	WinSCP
36	Q4	Skype for Business
37	Q4	MS Office
37	Q4	
37	Q4	
37	Q4	MS PowerBI
37	Q4	
37	Q4	
38	Q4	MS Office
39	Q4	
40	Q4	MS Word
40	Q4	MS Excel
40	Q4	MS Powerpoint
40	Q4	
40	Q4	
45	Q4	
46	Q4	MS Office
46	Q4	MS Navision
49	Q4	MS Excel
49	Q4	MS Powerpoint
49	Q4	
49	Q4	MS Word
49	Q4	Internet Explorer
49	Q4	Skitch
51	Q4	Fuze
51	Q4	Google Mail
51	Q4	G Suite
51	Q4	Concur
51	Q4	Xactly
51	Q4	Google Chrome
51	Q4	Ultipro
51	Q4	SalesForce
57	Q4	MS Word 365
57	Q4	MS PowerPoint 365
57	Q4	MS Excel 365
57	Q4	
57	Q4	Google Chrome
57	Q4	
59	Q4	MS Office
62	Q4	Sonatype Nexus
63	Q4	MS Office 365
63	Q4	MS Outlook 365
64	Q4	MS Word
64	Q4	LibreOffice
74	Q4	MS Office 365
74	Q4	MS Teams
74	Q4	MS Excel
74	Q4	MS Word
74	Q4	
74	Q4	Thinkcell
74	Q4	Jedox
74	Q4	
76	Q4	
77	Q4	MS Office 365
77	Q4	Citrix
77	Q4	Cisco AnyConnect
77	Q4	
77	Q4	Palo Alto Networks Threats
77	Q4	TrustBroker
77	Q4	MS OneDrive
77	Q4	MS Remote Desktop
77	Q4	VNC
77	Q4	Milestone
77	Q4	Pelco
77	Q4	WMVare
77	Q4	MMA Maxor PCA Soft
81	Q4	
81	Q4	MS Word
81	Q4	MS Outlook 365
81	Q4	Adobe Photoshop Elements
81	Q4	Newscycle
81	Q4	
84	Q4	IntelliJ Idea
84	Q4	Oracle Java
84	Q4	Virtual Box
84	Q4	Notepad++
84	Q4	Google Chrome
84	Q4	
90	Q4	MS Excel
90	Q4	
90	Q4	MS Word
90	Q4	Internet Explorer
90	Q4	
93	Q4	MS Office
93	Q4	Google Chrome
93	Q4	Superoffice
95	Q4	MS Word
95	Q4	MS Excel
95	Q4	MS Powerpoint
95	Q4	MS Visio
95	Q4	
97	Q4	MS Word
97	Q4	MS Excel
97	Q4	
100	Q4	MS Word
100	Q4	MS Excel
100	Q4	
105	Q4	Lotus Notes
105	Q4	FKS (SDC)
105	Q4	Advisor (SDC)
105	Q4	MS Excel
108	Q4	
112	Q4	Equus
112	Q4	Google Mail
112	Q4	MS Word 2010
112	Q4	Internet Explorer
112	Q4	Mozilla Firefox
112	Q4	
114	Q4	MS Word 2017
114	Q4	MS Outlook 2017
118	Q4	
119	Q4	MS Word
119	Q4	MS Excel
119	Q4	
129	Q4	
129	Q4	MS Word; MS Excel; Advosys Explorer
130	Q4	MS Visual Studio
130	Q4	Git
130	Q4	MS Office
130	Q4	
130	Q4	MS Teams
130	Q4	
136	Q4	MS Excel
136	Q4	MS Word
136	Q4	MS Powerpoint
142	Q4	MS Navision
142	Q4	MS Office
142	Q4	
143	Q4	
143	Q4	
145	Q4	MS Office
145	Q4	SAP
145	Q4	Teamcenter (Siemens)
146	Q4	MS Word
146	Q4	MS Excel
146	Q4	Snipping Tool
146	Q4	Notepad++
146	Q4	Microsoft Dynamics 365 CRM
146	Q4	Adobe Acrobat Reader
146	Q4	Google Chrome
146	Q4	ipnordic Communicator
147	Q4	MS Word
147	Q4	MS Excel
147	Q4	MS Powerpoint
154	Q4	MS Dynamics NAV
154	Q4	MS Excel
154	Q4	MS Word
154	Q4	MS Dynamics NAV
155	Q4	
161	Q4	MS Word
161	Q4	MS Excel
161	Q4	Snipping Tool
161	Q4	Adobe Acrobat Reader
161	Q4	
161	Q4	Internet Explorer
168	Q4	Citrix
168	Q4	Google Chrome
168	Q4	MS Office
169	Q4	
171	Q4	MS Office
171	Q4	Internet Explorer
171	Q4	SAP
173	Q4	MS Office 365
174	Q4	
174	Q4	
174	Q4	
176	Q4	
179	Q4	MS Office 2013
179	Q4	TN3270 Plus
179	Q4	COBOL
179	Q4	
179	Q4	SKAT System (Taxation)
179	Q4	NetBank
179	Q4	Google Mail
179	Q4	
179	Q4	Google Drive
179	Q4	Google Chrome
184	Q4	
184	Q4	
185	Q4	MS Excel 2016
185	Q4	MS SQL Server
185	Q4	MS Visual Studio
185	Q4	Evernote
185	Q4	MS Word
185	Q4	
185	Q4	
190	Q4	
191	Q4	MS Word
191	Q4	MS Excel
191	Q4	MS Office
191	Q4	SAP
192	Q4	SAP
192	Q4	MS Excel 2013
192	Q4	MS Word 2013
192	Q4	MS PowerPoint 2013
193	Q4	Mainframe
193	Q4	ServiceNow
193	Q4	Rational Developer
193	Q4	RTC
205	Q4	
205	Q4	MS Sharepoint
205	Q4	MS Office 365
205	Q4	Acadre
205	Q4	Mercell 2017
205	Q4	Oracle Database
207	Q4	MS Office; MS Outlook
207	Q4	MS Word
207	Q4	Navigator (Bering IT)
208	Q4	MS Office
208	Q4	Adobe InDesign
208	Q4	Adobe Photoshop
208	Q4	CCI News Gate
209	Q4	MS Word 2016
209	Q4	MS Excel 2016
209	Q4	MS PowerPoint 2016
209	Q4	MS Navision
209	Q4	
210	Q4	MS Office 365
210	Q4	KMD Kingo
212	Q4	MS Word
212	Q4	MS Powerpoint
212	Q4	Epic
214	Q4	MS Visual Studio
214	Q4	PostgreSQL
216	Q4	MS Office
216	Q4	SiteCore
216	Q4	SurveyXact
216	Q4	ØSS-Samarbejdet
216	Q4	qlikview
216	Q4	SDU Pro
218	Q4	MS Word 2016
218	Q4	MS Excel
218	Q4	MS Access
218	Q4	MS Powerpoint
218	Q4	MS PowerBI
218	Q4	
220	Q4	MS Word 2011
220	Q4	MS Excel 2011
